Product code,Bureau of Meteorology station number,Year,Month,Mean minimum temperature (°C),Quality
IDCJAC0004,023034,1990,08,8.3,Y
IDCJAC0004,023034,1990,09,9.8,Y
IDCJAC0004,023034,1990,10,11.2,Y
IDCJAC0004,023034,1990,11,13.8,Y
IDCJAC0004,023034,1990,12,15.0,Y
IDCJAC0004,023034,1991,01,17.6,Y
IDCJAC0004,023034,1991,02,14.6,Y
IDCJAC0004,023034,1991,03,13.9,Y
IDCJAC0004,023034,1991,04,12.1,Y
IDCJAC0004,023034,1991,05,8.5,Y
IDCJAC0004,023034,1991,06,10.8,Y
IDCJAC0004,023034,1991,07,7.4,Y
IDCJAC0004,023034,1991,08,8.4,Y
IDCJAC0004,023034,1991,09,9.2,Y
IDCJAC0004,023034,1991,10,11.0,Y
IDCJAC0004,023034,1991,11,13.4,Y
IDCJAC0004,023034,1991,12,14.1,Y
IDCJAC0004,023034,1992,01,13.9,Y
IDCJAC0004,023034,1992,02,17.1,Y
IDCJAC0004,023034,1992,03,15.2,Y
IDCJAC0004,023034,1992,04,12.7,Y
IDCJAC0004,023034,1992,05,9.6,Y
IDCJAC0004,023034,1992,06,8.2,Y
IDCJAC0004,023034,1992,07,7.8,Y
IDCJAC0004,023034,1992,08,7.3,Y
IDCJAC0004,023034,1992,09,7.7,Y
IDCJAC0004,023034,1992,10,11.1,Y
IDCJAC0004,023034,1992,11,11.5,Y
IDCJAC0004,023034,1992,12,15.7,Y
IDCJAC0004,023034,1993,01,16.3,Y
IDCJAC0004,023034,1993,02,16.6,Y
IDCJAC0004,023034,1993,03,15.0,Y
IDCJAC0004,023034,1993,04,10.9,Y
IDCJAC0004,023034,1993,05,9.8,Y
IDCJAC0004,023034,1993,06,7.5,Y
IDCJAC0004,023034,1993,07,8.5,Y
IDCJAC0004,023034,1993,08,8.8,Y
IDCJAC0004,023034,1993,09,8.5,Y
IDCJAC0004,023034,1993,10,10.7,Y
IDCJAC0004,023034,1993,11,13.1,Y
IDCJAC0004,023034,1993,12,15.0,Y
IDCJAC0004,023034,1994,01,15.0,Y
IDCJAC0004,023034,1994,02,15.7,Y
IDCJAC0004,023034,1994,03,13.2,Y
IDCJAC0004,023034,1994,04,12.0,Y
IDCJAC0004,023034,1994,05,9.7,Y
IDCJAC0004,023034,1994,06,8.6,Y
IDCJAC0004,023034,1994,07,6.6,Y
IDCJAC0004,023034,1994,08,6.8,Y
IDCJAC0004,023034,1994,09,8.5,Y
IDCJAC0004,023034,1994,10,11.0,Y
IDCJAC0004,023034,1994,11,12.3,Y
IDCJAC0004,023034,1994,12,15.7,Y
IDCJAC0004,023034,1995,01,16.9,Y
IDCJAC0004,023034,1995,02,16.7,Y
IDCJAC0004,023034,1995,03,14.0,Y
IDCJAC0004,023034,1995,04,11.3,Y
IDCJAC0004,023034,1995,05,9.1,Y
IDCJAC0004,023034,1995,06,8.9,Y
IDCJAC0004,023034,1995,07,8.4,Y
IDCJAC0004,023034,1995,08,7.1,Y
IDCJAC0004,023034,1995,09,9.0,Y
IDCJAC0004,023034,1995,10,10.9,Y
IDCJAC0004,023034,1995,11,13.2,Y
IDCJAC0004,023034,1995,12,13.5,Y
IDCJAC0004,023034,1996,01,14.5,Y
IDCJAC0004,023034,1996,02,15.9,Y
IDCJAC0004,023034,1996,03,14.6,Y
IDCJAC0004,023034,1996,04,11.6,Y
IDCJAC0004,023034,1996,05,9.1,Y
IDCJAC0004,023034,1996,06,8.6,Y
IDCJAC0004,023034,1996,07,8.3,Y
IDCJAC0004,023034,1996,08,8.3,Y
IDCJAC0004,023034,1996,09,9.3,Y
IDCJAC0004,023034,1996,10,10.6,Y
IDCJAC0004,023034,1996,11,12.6,Y
IDCJAC0004,023034,1996,12,14.4,Y
IDCJAC0004,023034,1997,01,17.1,Y
IDCJAC0004,023034,1997,02,19.1,Y
IDCJAC0004,023034,1997,03,12.9,Y
IDCJAC0004,023034,1997,04,11.7,Y
IDCJAC0004,023034,1997,05,9.6,Y
IDCJAC0004,023034,1997,06,8.1,Y
IDCJAC0004,023034,1997,07,4.8,Y
IDCJAC0004,023034,1997,08,7.1,Y
IDCJAC0004,023034,1997,09,9.5,Y
IDCJAC0004,023034,1997,10,10.9,Y
IDCJAC0004,023034,1997,11,14.3,Y
IDCJAC0004,023034,1997,12,14.6,Y
IDCJAC0004,023034,1998,01,16.5,Y
IDCJAC0004,023034,1998,02,14.7,Y
IDCJAC0004,023034,1998,03,14.5,Y
IDCJAC0004,023034,1998,04,10.8,Y
IDCJAC0004,023034,1998,05,10.2,Y
IDCJAC0004,023034,1998,06,7.5,Y
IDCJAC0004,023034,1998,07,5.7,Y
IDCJAC0004,023034,1998,08,7.9,Y
IDCJAC0004,023034,1998,09,9.7,Y
IDCJAC0004,023034,1998,10,10.6,Y
IDCJAC0004,023034,1998,11,12.5,Y
IDCJAC0004,023034,1998,12,15.0,Y
IDCJAC0004,023034,1999,01,18.1,Y
IDCJAC0004,023034,1999,02,18.1,Y
IDCJAC0004,023034,1999,03,15.2,Y
IDCJAC0004,023034,1999,04,9.2,Y
IDCJAC0004,023034,1999,05,10.5,Y
IDCJAC0004,023034,1999,06,7.6,Y
IDCJAC0004,023034,1999,07,8.2,Y
IDCJAC0004,023034,1999,08,7.1,Y
IDCJAC0004,023034,1999,09,10.3,Y
IDCJAC0004,023034,1999,10,12.5,Y
IDCJAC0004,023034,1999,11,12.5,Y
IDCJAC0004,023034,1999,12,15.7,Y
IDCJAC0004,023034,2000,01,16.9,Y
IDCJAC0004,023034,2000,02,19.3,Y
