Product code,Bureau of Meteorology station number,Year,Month,Mean maximum temperature (°C),Quality
IDCJAC0002,023034,1986,12,24.1,Y
IDCJAC0002,023034,1987,01,24.6,Y
IDCJAC0002,023034,1987,02,27.5,Y
IDCJAC0002,023034,1987,03,23.4,Y
IDCJAC0002,023034,1987,04,22.8,Y
IDCJAC0002,023034,1987,05,18.3,Y
IDCJAC0002,023034,1987,06,16.1,Y
IDCJAC0002,023034,1987,07,14.3,Y
IDCJAC0002,023034,1987,08,15.1,Y
IDCJAC0002,023034,1987,09,18.5,Y
IDCJAC0002,023034,1987,10,20.6,Y
IDCJAC0002,023034,1987,11,24.0,Y
IDCJAC0002,023034,1987,12,26.0,Y
IDCJAC0002,023034,1988,01,28.1,Y
IDCJAC0002,023034,1988,02,25.8,Y
IDCJAC0002,023034,1988,03,26.6,Y
IDCJAC0002,023034,1988,04,22.4,Y
IDCJAC0002,023034,1988,05,19.6,Y
IDCJAC0002,023034,1988,06,16.2,Y
IDCJAC0002,023034,1988,07,15.4,Y
IDCJAC0002,023034,1988,08,16.5,Y
IDCJAC0002,023034,1988,09,20.0,Y
IDCJAC0002,023034,1988,10,22.6,Y
IDCJAC0002,023034,1988,11,22.5,Y
IDCJAC0002,023034,1988,12,26.9,Y
IDCJAC0002,023034,1989,01,27.3,Y
IDCJAC0002,023034,1989,02,28.9,Y
IDCJAC0002,023034,1989,03,26.7,Y
IDCJAC0002,023034,1989,04,22.2,Y
IDCJAC0002,023034,1989,05,18.4,Y
IDCJAC0002,023034,1989,06,14.1,Y
IDCJAC0002,023034,1989,07,13.8,Y
IDCJAC0002,023034,1989,08,14.1,Y
IDCJAC0002,023034,1989,09,18.2,Y
IDCJAC0002,023034,1989,10,19.7,Y
IDCJAC0002,023034,1989,11,24.7,Y
IDCJAC0002,023034,1989,12,26.6,Y
IDCJAC0002,023034,1990,01,28.0,Y
IDCJAC0002,023034,1990,02,26.1,Y
IDCJAC0002,023034,1990,03,27.0,Y
IDCJAC0002,023034,1990,04,22.4,Y
IDCJAC0002,023034,1990,05,19.6,Y
IDCJAC0002,023034,1990,06,16.2,Y
IDCJAC0002,023034,1990,07,15.0,Y
IDCJAC0002,023034,1990,08,14.5,Y
IDCJAC0002,023034,1990,09,19.1,Y
IDCJAC0002,023034,1990,10,22.1,Y
IDCJAC0002,023034,1990,11,25.9,Y
IDCJAC0002,023034,1990,12,25.0,Y
IDCJAC0002,023034,1991,01,28.6,Y
IDCJAC0002,023034,1991,02,29.2,Y
IDCJAC0002,023034,1991,03,24.7,Y
IDCJAC0002,023034,1991,04,22.4,Y
IDCJAC0002,023034,1991,05,18.4,Y
IDCJAC0002,023034,1991,06,16.9,Y
IDCJAC0002,023034,1991,07,14.9,Y
IDCJAC0002,023034,1991,08,15.2,Y
IDCJAC0002,023034,1991,09,18.2,Y
IDCJAC0002,023034,1991,10,21.9,Y
IDCJAC0002,023034,1991,11,23.9,Y
IDCJAC0002,023034,1991,12,24.6,Y
IDCJAC0002,023034,1992,01,24.3,Y
IDCJAC0002,023034,1992,02,28.8,Y
IDCJAC0002,023034,1992,03,25.3,Y
IDCJAC0002,023034,1992,04,22.6,Y
IDCJAC0002,023034,1992,05,17.8,Y
IDCJAC0002,023034,1992,06,15.5,Y
IDCJAC0002,023034,1992,07,15.6,Y
IDCJAC0002,023034,1992,08,15.1,Y
IDCJAC0002,023034,1992,09,15.2,Y
IDCJAC0002,023034,1992,10,20.5,Y
IDCJAC0002,023034,1992,11,20.8,Y
IDCJAC0002,023034,1992,12,24.1,Y
IDCJAC0002,023034,1993,01,27.5,Y
IDCJAC0002,023034,1993,02,27.8,Y
IDCJAC0002,023034,1993,03,25.2,Y
IDCJAC0002,023034,1993,04,24.1,Y
IDCJAC0002,023034,1993,05,19.3,Y
IDCJAC0002,023034,1993,06,15.1,Y
IDCJAC0002,023034,1993,07,15.3,Y
IDCJAC0002,023034,1993,08,17.8,Y
IDCJAC0002,023034,1993,09,18.3,Y
IDCJAC0002,023034,1993,10,20.1,Y
IDCJAC0002,023034,1993,11,23.9,Y
IDCJAC0002,023034,1993,12,24.2,Y
IDCJAC0002,023034,1994,01,24.8,Y
IDCJAC0002,023034,1994,02,26.3,Y
IDCJAC0002,023034,1994,03,25.5,Y
IDCJAC0002,023034,1994,04,22.2,Y
IDCJAC0002,023034,1994,05,19.2,Y
IDCJAC0002,023034,1994,06,16.2,Y
IDCJAC0002,023034,1994,07,16.5,Y
IDCJAC0002,023034,1994,08,15.7,Y
IDCJAC0002,023034,1994,09,17.4,Y
IDCJAC0002,023034,1994,10,21.5,Y
IDCJAC0002,023034,1994,11,22.5,Y
IDCJAC0002,023034,1994,12,28.2,Y
IDCJAC0002,023034,1995,01,29.5,Y
IDCJAC0002,023034,1995,02,29.1,Y
IDCJAC0002,023034,1995,03,23.7,Y
IDCJAC0002,023034,1995,04,19.8,Y
IDCJAC0002,023034,1995,05,17.5,Y
IDCJAC0002,023034,1995,06,16.1,Y
IDCJAC0002,023034,1995,07,13.9,Y
IDCJAC0002,023034,1995,08,17.4,Y
IDCJAC0002,023034,1995,09,18.1,Y
IDCJAC0002,023034,1995,10,21.1,Y
IDCJAC0002,023034,1995,11,23.8,Y
IDCJAC0002,023034,1995,12,25.1,Y
IDCJAC0002,023034,1996,01,26.6,Y
IDCJAC0002,023034,1996,02,27.3,Y
IDCJAC0002,023034,1996,03,26.7,Y
IDCJAC0002,023034,1996,04,19.9,Y
IDCJAC0002,023034,1996,05,19.2,Y
IDCJAC0002,023034,1996,06,16.6,Y
IDCJAC0002,023034,1996,07,15.0,Y
IDCJAC0002,023034,1996,08,15.1,Y
IDCJAC0002,023034,1996,09,17.5,Y
IDCJAC0002,023034,1996,10,21.3,Y
IDCJAC0002,023034,1996,11,21.9,Y
IDCJAC0002,023034,1996,12,24.9,Y
IDCJAC0002,023034,1997,01,28.3,Y
IDCJAC0002,023034,1997,02,31.8,Y
IDCJAC0002,023034,1997,03,22.5,Y
IDCJAC0002,023034,1997,04,22.1,Y
IDCJAC0002,023034,1997,05,17.4,Y
IDCJAC0002,023034,1997,06,15.6,Y
IDCJAC0002,023034,1997,07,14.2,Y
IDCJAC0002,023034,1997,08,15.0,Y
IDCJAC0002,023034,1997,09,17.4,Y
IDCJAC0002,023034,1997,10,21.3,Y
IDCJAC0002,023034,1997,11,25.1,Y
IDCJAC0002,023034,1997,12,25.3,Y
IDCJAC0002,023034,1998,01,28.3,Y
IDCJAC0002,023034,1998,02,26.7,Y
IDCJAC0002,023034,1998,03,25.5,Y
IDCJAC0002,023034,1998,04,20.1,Y
IDCJAC0002,023034,1998,05,18.6,Y
IDCJAC0002,023034,1998,06,15.3,Y
IDCJAC0002,023034,1998,07,13.8,Y
IDCJAC0002,023034,1998,08,16.1,Y
IDCJAC0002,023034,1998,09,19.6,Y
IDCJAC0002,023034,1998,10,20.1,Y
IDCJAC0002,023034,1998,11,23.5,Y
IDCJAC0002,023034,1998,12,26.3,Y
IDCJAC0002,023034,1999,01,30.3,Y
IDCJAC0002,023034,1999,02,29.5,Y
IDCJAC0002,023034,1999,03,24.3,Y
IDCJAC0002,023034,1999,04,20.7,Y
IDCJAC0002,023034,1999,05,19.0,Y
IDCJAC0002,023034,1999,06,15.6,Y
IDCJAC0002,023034,1999,07,15.6,Y
IDCJAC0002,023034,1999,08,16.7,Y
IDCJAC0002,023034,1999,09,20.2,Y
IDCJAC0002,023034,1999,10,21.8,Y
IDCJAC0002,023034,1999,11,22.2,Y
IDCJAC0002,023034,1999,12,25.2,Y
IDCJAC0002,023034,2000,01,27.5,Y
IDCJAC0002,023034,2000,02,31.6,Y
IDCJAC0002,023034,2000,03,25.5,Y
IDCJAC0002,023034,2000,04,22.4,Y
IDCJAC0002,023034,2000,05,17.3,Y
IDCJAC0002,023034,2000,06,15.2,Y
IDCJAC0002,023034,2000,07,15.1,Y
IDCJAC0002,023034,2000,08,15.5,Y
IDCJAC0002,023034,2000,09,18.3,Y
IDCJAC0002,023034,2000,10,20.4,Y
IDCJAC0002,023034,2000,11,26.6,Y
IDCJAC0002,023034,2000,12,27.2,Y
IDCJAC0002,023034,2001,01,32.5,Y
IDCJAC0002,023034,2001,02,30.7,Y
IDCJAC0002,023034,2001,03,24.9,Y
IDCJAC0002,023034,2001,04,22.0,Y
IDCJAC0002,023034,2001,05,18.5,Y
IDCJAC0002,023034,2001,06,15.9,Y
IDCJAC0002,023034,2001,07,15.1,Y
IDCJAC0002,023034,2001,08,15.6,Y
IDCJAC0002,023034,2001,09,19.5,Y
IDCJAC0002,023034,2001,10,18.1,Y
IDCJAC0002,023034,2001,11,21.6,Y
IDCJAC0002,023034,2001,12,22.5,Y
IDCJAC0002,023034,2002,01,26.6,Y
IDCJAC0002,023034,2002,02,25.4,Y
IDCJAC0002,023034,2002,03,24.9,Y
IDCJAC0002,023034,2002,04,23.7,Y
IDCJAC0002,023034,2002,05,20.3,Y
IDCJAC0002,023034,2002,06,15.9,Y
IDCJAC0002,023034,2002,07,15.7,Y
IDCJAC0002,023034,2002,08,16.0,Y
IDCJAC0002,023034,2002,09,18.8,Y
IDCJAC0002,023034,2002,10,21.1,Y
